jahr,alt,d_m,d_f
2016,33Jährige,525684,503221
2016,34Jährige,536092,514912
2016,35Jährige,527845,513873
2016,36Jährige,529575,516881
2016,37Jährige,502905,492664
2016,38Jährige,495859,485623
2016,39Jährige,491694,481064
2016,40Jährige,480550,473418
2016,41Jährige,469329,460165
2016,42Jährige,473472,468067
2016,43Jährige,476897,472712
2016,44Jährige,518342,510842
2016,45Jährige,570826,560885
2016,46Jährige,591550,581861
2016,47Jährige,636723,622995
2016,48Jährige,666765,652067
2016,49Jährige,683734,669828
2016,50Jährige,701965,687087
2016,51Jährige,704923,688001
2016,52Jährige,715892,701439
2016,53Jährige,708062,696393
2016,54Jährige,682265,675743
2016,55Jährige,668762,667915
2016,56Jährige,644179,645662
2016,57Jährige,624497,627221
2016,58Jährige,587729,592323
2016,59Jährige,571008,579129
2016,60Jährige,551252,564278
2016,61Jährige,528928,548970
2016,62Jährige,512047,541764
2016,63Jährige,490181,525366
2016,64Jährige,485929,523781
2016,65Jährige,473003,511652
2016,66Jährige,469230,509967
2016,67Jährige,451267,490042
2016,68Jährige,409843,444647
2016,69Jährige,379557,417985
2016,70Jährige,326028,363194
2016,71Jährige,279825,320848
2016,72Jährige,370475,424864
2016,73Jährige,371117,428363
2016,74Jährige,353094,412321
2016,75Jährige,416558,499956
2016,76Jährige,424556,522155
2016,77Jährige,404070,508100
2016,78Jährige,361892,463809
2016,79Jährige,321396,423874
2016,80Jährige,293206,398949
2016,81Jährige,264072,372241
2016,82Jährige,226481,330654
2016,83Jährige,166047,253646
2016,84Jährige,149063,239544
2016,85 Jahre und mehr,697193,1549156
2017,00Jährige,402569,382505
2017,01Jährige,407765,388384
2017,02Jährige,395923,374705
2017,03Jährige,390784,370084
2017,04Jährige,377177,356882
2017,05Jährige,376371,355717
2017,06Jährige,367598,347930
2017,07Jährige,376147,356439
2017,08Jährige,370796,350372
2017,09Jährige,380506,360340
2017,10Jährige,378707,357375
2017,11Jährige,371956,349789
2017,12Jährige,375806,355013
2017,13Jährige,384110,362780
2017,14Jährige,384680,362546
2017,15Jährige,392357,367880
2017,16Jährige,405607,376355
2017,17Jährige,429432,394752
2017,18Jährige,444725,397211
2017,19Jährige,459173,413032
2017,20Jährige,483470,434611
2017,21Jährige,479647,434207
2017,22Jährige,472223,427366
2017,23Jährige,480586,437332
2017,24Jährige,496507,455125
2017,25Jährige,504771,465961
2017,26Jährige,523752,484676
2017,27Jährige,574094,529814
2017,28Jährige,564624,525866
2017,29Jährige,578991,537127
2017,30Jährige,565364,526708
2017,31Jährige,552057,520738
2017,32Jährige,534341,506022
2017,33Jährige,529492,504073
2017,34Jährige,528592,506967
2017,35Jährige,538064,518277
2017,36Jährige,530023,517116
2017,37Jährige,531958,520196
2017,38Jährige,504959,495361
2017,39Jährige,497830,488288
2017,40Jährige,493475,483590
2017,41Jährige,482544,476123
2017,42Jährige,471039,462620
2017,43Jährige,475316,470472
2017,44Jährige,478412,474814
2017,45Jährige,519304,512467
2017,46Jährige,571528,562433
2017,47Jährige,592050,583025
2017,48Jährige,636987,623800
2017,49Jährige,666283,652596
2017,50Jährige,682835,670024
2017,51Jährige,700261,686888
2017,52Jährige,702607,687404
2017,53Jährige,713121,700488
2017,54Jährige,704907,695012
2017,55Jährige,678900,674084
2017,56Jährige,664813,665936
2017,57Jährige,639993,643577
2017,58Jährige,619928,624709
2017,59Jährige,582791,589809
2017,60Jährige,565643,576264
2017,61Jährige,545430,561050
2017,62Jährige,522746,545684
2017,63Jährige,505348,538230
2017,64Jährige,483154,521581
2017,65Jährige,478468,519684
2017,66Jährige,464826,507363
2017,67Jährige,460937,505115
2017,68Jährige,442595,485030
2017,69Jährige,401230,439594
2017,70Jährige,371086,412818
2017,71Jährige,317940,358023
2017,72Jährige,272361,316063
2017,73Jährige,359917,417832
2017,74Jährige,359972,420972
2017,75Jährige,341533,404556
2017,76Jährige,401693,489769
2017,77Jährige,407693,510141
2017,78Jährige,386635,495209
2017,79Jährige,344383,450160
2017,80Jährige,304192,409241
2017,81Jährige,275374,383008
2017,82Jährige,245833,354971
2017,83Jährige,208850,312892
2017,84Jährige,151594,237971
2017,85 Jahre und mehr,718141,1546656
2018,00Jährige,402082,381896
2018,01Jährige,408361,388013
2018,02Jährige,410978,391673
2018,03Jährige,398943,377820
2018,04Jährige,393733,372898
2018,05Jährige,380099,359630
2018,06Jährige,378881,357868
2018,07Jährige,370192,350421
2018,08Jährige,379116,359122
2018,09Jährige,373887,353022
2018,10Jährige,383341,363004
2018,11Jährige,381581,359949
2018,12Jährige,374579,352344
2018,13Jährige,378368,357391
2018,14Jährige,386561,365061
2018,15Jährige,387438,364912
2018,16Jährige,395934,370582
2018,17Jährige,408868,378874
2018,18Jährige,435928,399833
2018,19Jährige,454524,406568
2018,20Jährige,467956,423677
2018,21Jährige,491017,443425
2018,22Jährige,486993,442416
2018,23Jährige,480273,436451
2018,24Jährige,488412,445892
2018,25Jährige,503737,462875
2018,26Jährige,511574,473096
2018,27Jährige,529590,491381
2018,28Jährige,579362,535770
2018,29Jährige,569420,531503
2018,30Jährige,583348,542341
2018,31Jährige,569404,532256
2018,32Jährige,555921,525457
2018,33Jährige,537837,510607
2018,34Jährige,532592,508299
2018,35Jährige,531523,510983
2018,36Jährige,540678,522129
2018,37Jährige,532677,520783
2018,38Jährige,533857,523636
2018,39Jährige,507185,498770
2018,40Jährige,500166,491553
2018,41Jährige,495738,486640
2018,42Jährige,484503,478852
2018,43Jährige,473192,465378
2018,44Jährige,477297,472846
2018,45Jährige,479867,477112
2018,46Jährige,520800,514610
2018,47Jährige,572467,564335
2018,48Jährige,592870,584505
2018,49Jährige,637321,625016
2018,50Jährige,666311,653656
2018,51Jährige,682120,670517
2018,52Jährige,699149,686960
2018,53Jährige,701009,687242
2018,54Jährige,711100,699955
2018,55Jährige,702138,694091
2018,56Jährige,675891,672834
2018,57Jährige,661022,664204
2018,58Jährige,635696,641649
2018,59Jährige,615249,622350
2018,60Jährige,577633,587186
2018,61Jährige,560015,573412
2018,62Jährige,539449,558010
2018,63Jährige,516172,542144
2018,64Jährige,498064,534208
2018,65Jährige,475732,517354
2018,66Jährige,470419,515059
2018,67Jährige,456455,502630
2018,68Jährige,452260,499980
2018,69Jährige,433627,479600
2018,70Jährige,392351,434034
2018,71Jährige,362134,407291
2018,72Jährige,309417,352713
2018,73Jährige,264627,310683
2018,74Jährige,348986,410532
2018,75Jährige,348005,412807
2018,76Jährige,329384,396063
2018,77Jährige,385968,478354
2018,78Jährige,390087,496924
2018,79Jährige,368092,480562
2018,80Jährige,325865,435016
2018,81Jährige,285783,393334
2018,82Jährige,256688,365607
2018,83Jährige,227103,336281
2018,84Jährige,190890,293766
2018,85 Jahre und mehr,737553,1539302
2019,00Jährige,397560,377310
2019,01Jährige,407210,386922
2019,02Jährige,411575,390840
2019,03Jährige,413588,394228
2019,04Jährige,401776,380367
2019,05Jährige,396168,375311
2019,06Jährige,382282,361672
2019,07Jährige,381535,360434
2019,08Jährige,372873,352934
2019,09Jährige,381985,361776
2019,10Jährige,376669,355707
2019,11Jährige,386060,365603
2019,12Jährige,384312,362358
2019,13Jährige,377121,354577
2019,14Jährige,380989,359517
2019,15Jährige,389361,367462
2019,16Jährige,390458,367424
2019,17Jährige,398912,373026
2019,18Jährige,414640,383874
2019,19Jährige,445475,408611
2019,20Jährige,462725,416144
2019,21Jährige,474649,431253
2019,22Jährige,497629,450017
2019,23Jährige,494185,450406
2019,24Jährige,487309,444114
2019,25Jährige,494331,452701
2019,26Jährige,508936,469206
2019,27Jährige,516271,479244
2019,28Jährige,533893,496421
2019,29Jährige,582551,540917
2019,30Jährige,572863,536364
2019,31Jährige,586239,547343
2019,32Jährige,572165,536845
2019,33Jährige,558639,530061
2019,34Jährige,540359,514842
2019,35Jährige,535452,512634
2019,36Jährige,533620,515142
2019,37Jährige,543069,526099
2019,38Jährige,534940,524539
2019,39Jährige,536040,527675
2019,40Jährige,509370,502448
2019,41Jährige,502267,495161
2019,42Jährige,497583,490040
2019,43Jährige,486715,482170
2019,44Jährige,474999,468273
2019,45Jährige,478749,475713
2019,46Jährige,481428,479401
2019,47Jährige,521939,516858
2019,48Jährige,573372,566218
2019,49Jährige,593452,586228
2019,50Jährige,637745,626200
2019,51Jährige,666400,654560
2019,52Jährige,681623,671147
2019,53Jährige,698358,687250
2019,54Jährige,699645,687307
2019,55Jährige,709145,699687
2019,56Jährige,699652,693290
2019,57Jährige,672765,671623
2019,58Jährige,657265,662587
2019,59Jährige,631563,639728
2019,60Jährige,610222,619887
2019,61Jährige,572499,584626
2019,62Jährige,554257,570501
2019,63Jährige,533171,554786
2019,64Jährige,509304,538518
2019,65Jährige,490640,530406
2019,66Jährige,468105,513081
2019,67Jährige,462222,510373
2019,68Jährige,448219,497899
2019,69Jährige,443341,494746
2019,70Jährige,424241,473859
2019,71Jährige,383230,428232
2019,72Jährige,353046,401461
2019,73Jährige,301078,347111
2019,74Jährige,256685,305152
2019,75Jährige,337865,402663
2019,76Jährige,336110,404265
2019,77Jährige,317005,387280
2019,78Jährige,370011,466392
2019,79Jährige,372039,482790
2019,80Jährige,349356,464990
2019,81Jährige,307110,418901
2019,82Jährige,267416,376292
2019,83Jährige,238102,347235
2019,84Jährige,208306,316573
2019,85 Jahre und mehr,793584,1593270
2020,00Jährige,395333,374047
2020,01Jährige,402096,381497
2020,02Jährige,409536,388830
2020,03Jährige,413579,392619
2020,04Jährige,415540,396061
2020,05Jährige,403694,382060
2020,06Jährige,397758,376829
2020,07Jährige,384091,363356
2020,08Jährige,383574,362309
2020,09Jährige,375054,354843
2020,10Jährige,384075,363682
2020,11Jährige,378854,357563
2020,12Jährige,388079,367491
2020,13Jährige,386159,364021
2020,14Jährige,378943,356227
2020,15Jährige,383023,361195
2020,16Jährige,391559,369019
2020,17Jährige,392448,368900
2020,18Jährige,402820,376219
2020,19Jährige,421637,389954
2020,20Jährige,451173,414770
2020,21Jährige,466242,419188
2020,22Jährige,477346,433637
2020,23Jährige,501488,454023
2020,24Jährige,497972,454652
2020,25Jährige,490692,448328
2020,26Jährige,496957,456660
2020,27Jährige,511438,473026
2020,28Jährige,518286,482483
2020,29Jährige,535433,499636
2020,30Jährige,583755,543873
2020,31Jährige,573866,539069
2020,32Jährige,586904,549955
2020,33Jährige,573272,539082
2020,34Jährige,559141,532171
2020,35Jährige,541052,517045
2020,36Jährige,535768,514453
2020,37Jährige,533836,516839
2020,38Jährige,543277,527541
2020,39Jährige,534940,526125
2020,40Jährige,535953,529235
2020,41Jährige,509422,503765
2020,42Jährige,502294,496302
2020,43Jährige,497188,491144
2020,44Jährige,486351,483234
2020,45Jährige,474732,469316
2020,46Jährige,478179,476614
2020,47Jährige,480581,480118
2020,48Jährige,521005,517210
2020,49Jährige,571781,566324
2020,50Jährige,591764,586081
2020,51Jährige,635810,625808
2020,52Jährige,663991,654060
2020,53Jährige,678619,670267
2020,54Jährige,694947,685877
2020,55Jährige,695588,685769
2020,56Jährige,704793,697779
2020,57Jährige,694707,690900
2020,58Jährige,667477,669166
2020,59Jährige,651559,659580
2020,60Jährige,625349,636586
2020,61Jährige,603536,616485
2020,62Jährige,565533,581134
2020,63Jährige,546840,566602
2020,64Jährige,525303,550769
2020,65Jährige,501022,534287
2020,66Jährige,481970,525482
2020,67Jährige,459340,508215
2020,68Jährige,453055,505233
2020,69Jährige,438401,492099
2020,70Jährige,433126,488644
2020,71Jährige,413894,467353
2020,72Jährige,373068,421940
2020,73Jährige,342891,394797
2020,74Jährige,291535,340822
2020,75Jährige,247817,298935
2020,76Jährige,325168,393829
2020,77Jährige,322499,394559
2020,78Jährige,303252,377093
2020,79Jährige,352294,452582
2020,80Jährige,351946,466513
2020,81Jährige,328240,447212
2020,82Jährige,286767,400691
2020,83Jährige,247423,357041
2020,84Jährige,217942,326727
2020,85 Jahre und mehr,850877,1655055
2021,00Jährige,406097,385157
2021,01Jährige,401359,379436
2021,02Jährige,404878,384267
2021,03Jährige,412034,391300
2021,04Jährige,416024,394781
2021,05Jährige,417887,398255
2021,06Jährige,405618,383779
2021,07Jährige,400215,379063
2021,08Jährige,386770,365699
2021,09Jährige,386136,364719
2021,10Jährige,377542,357124
2021,11Jährige,386600,366000
2021,12Jährige,381515,359732
2021,13Jährige,390561,369519
2021,14Jährige,388940,365928
2021,15Jährige,381718,358300
2021,16Jährige,386716,363341
2021,17Jährige,394974,371275
2021,18Jährige,398995,373955
2021,19Jährige,412995,384711
2021,20Jährige,431701,399734
2021,21Jährige,460307,423980
2021,22Jährige,474807,428184
2021,23Jährige,486852,443280
2021,24Jährige,510571,463111
2021,25Jährige,505883,462712
2021,26Jährige,497899,455858
2021,27Jährige,503198,463010
2021,28Jährige,516319,478314
2021,29Jährige,522376,487160
2021,30Jährige,538596,503815
2021,31Jährige,586563,547591
2021,32Jährige,576449,542256
2021,33Jährige,588800,552979
2021,34Jährige,574855,541700
2021,35Jährige,560457,534525
2021,36Jährige,542297,519036
2021,37Jährige,536692,516341
2021,38Jährige,534769,518454
2021,39Jährige,543567,529056
2021,40Jährige,535213,527360
2021,41Jährige,536139,530491
2021,42Jährige,509647,504988
2021,43Jährige,502153,497430
2021,44Jährige,496878,492000
2021,45Jährige,485871,484089
2021,46Jährige,473754,470050
2021,47Jährige,477217,477017
2021,48Jährige,479512,480436
2021,49Jährige,519348,517110
2021,50Jährige,569621,566089
2021,51Jährige,589256,585498
2021,52Jährige,632901,624976
2021,53Jährige,660615,652838
2021,54Jährige,674763,668555
2021,55Jährige,690613,683906
2021,56Jährige,690594,683344
2021,57Jährige,699204,695210
2021,58Jährige,688851,687826
2021,59Jährige,661238,666011
2021,60Jährige,644532,655992
2021,61Jährige,618018,632757
2021,62Jährige,595750,612540
2021,63Jährige,557493,576804
2021,64Jährige,538134,562024
2021,65Jährige,515917,545892
2021,66Jährige,491362,529031
2021,67Jährige,472107,519841
2021,68Jährige,449515,502401
2021,69Jährige,442755,499109
2021,70Jährige,427480,485566
2021,71Jährige,421565,481432
2021,72Jährige,402268,459897
2021,73Jährige,361662,414472
2021,74Jährige,331581,387369
2021,75Jährige,280823,333384
2021,76Jährige,238135,291918
2021,77Jährige,311304,383592
2021,78Jährige,307745,383456
2021,79Jährige,288061,365204
2021,80Jährige,332830,436435
2021,81Jährige,329868,447776
2021,82Jährige,305937,426823
2021,83Jährige,264560,380009
2021,84Jährige,226204,335769
2021,85 Jahre und mehr,907259,1718185
2022,00Jährige,371620,353091
2022,01Jährige,402947,383073
2022,02Jährige,397167,376663
2022,03Jährige,401210,381213
2022,04Jährige,408366,389398
2022,05Jährige,413409,393576
2022,06Jährige,415645,397383
2022,07Jährige,405004,384455
2022,08Jährige,401907,382678
2022,09Jährige,388725,369433
2022,10Jährige,389846,369064
2022,11Jährige,383522,364160
2022,12Jährige,392945,373513
2022,13Jährige,388255,367063
2022,14Jährige,396800,376837
2022,15Jährige,395888,372986
2022,16Jährige,391805,366733
2022,17Jährige,397696,371873
2022,18Jährige,406519,379413
2022,19Jährige,401221,380466
2022,20Jährige,416416,392456
2022,21Jährige,434971,406504
2022,22Jährige,465663,430593
2022,23Jährige,481164,435255
2022,24Jährige,493879,449972
2022,25Jährige,508926,465657
2022,26Jährige,500266,460547
2022,27Jährige,491291,453785
2022,28Jährige,496516,460534
2022,29Jährige,510864,477861
2022,30Jährige,519699,489290
2022,31Jährige,533953,505238
2022,32Jährige,581101,551069
2022,33Jährige,573900,547171
2022,34Jährige,587914,560417
2022,35Jährige,575904,551306
2022,36Jährige,563733,546488
2022,37Jährige,547102,530728
2022,38Jährige,542058,529260
2022,39Jährige,541155,531177
2022,40Jährige,549051,540348
2022,41Jährige,540234,537964
2022,42Jährige,541191,539020
2022,43Jährige,514117,512717
2022,44Jährige,506040,503518
2022,45Jährige,499959,496423
2022,46Jährige,487413,487059
2022,47Jährige,473745,472709
2022,48Jährige,477814,478422
2022,49Jährige,479176,479884
2022,50Jährige,518922,518889
2022,51Jährige,572069,570857
2022,52Jährige,590575,589030
2022,53Jährige,633397,626903
2022,54Jährige,659407,652014
2022,55Jährige,671420,665330
2022,56Jährige,685173,679670
2022,57Jährige,682621,676975
2022,58Jährige,688443,688982
2022,59Jährige,676518,681073
2022,60Jährige,652126,661887
2022,61Jährige,638368,653550
2022,62Jährige,607509,630549
2022,63Jährige,584113,610808
2022,64Jährige,545258,573706
2022,65Jährige,529491,558802
2022,66Jährige,511470,542726
2022,67Jährige,485342,524751
2022,68Jährige,465781,514932
2022,69Jährige,441288,496316
2022,70Jährige,433437,492008
2022,71Jährige,417968,478339
2022,72Jährige,408953,473308
2022,73Jährige,388620,450510
2022,74Jährige,347887,404185
2022,75Jährige,317388,376216
2022,76Jährige,266772,323256
2022,77Jährige,225064,281173
2022,78Jährige,292940,367763
2022,79Jährige,286932,365701
2022,80Jährige,266112,347684
2022,81Jährige,305499,414464
2022,82Jährige,299012,423193
2022,83Jährige,275000,400973
2022,84Jährige,234936,354576
2022,85 Jahre und mehr,928182,1771254
2023,00Jährige,353628,336206
2023,01Jährige,379274,360122
2023,02Jährige,406562,386548
2023,03Jährige,400253,379748
2023,04Jährige,404553,384465
2023,05Jährige,411591,392390
2023,06Jährige,415861,396107
2023,07Jährige,418948,400480
2023,08Jährige,408960,387845
2023,09Jährige,405825,386073
2023,10Jährige,392642,372775
2023,11Jährige,393806,372416
2023,12Jährige,387405,367274
2023,13Jährige,396931,376477
2023,14Jährige,392607,369974
2023,15Jährige,403090,379532
2023,16Jährige,405178,375973
2023,17Jährige,403208,369443
2023,18Jährige,414810,378161
2023,19Jährige,425207,391108
2023,20Jährige,419725,393310
2023,21Jährige,433967,403182
2023,22Jährige,453064,417066
2023,23Jährige,486083,442834
2023,24Jährige,500132,446655
2023,25Jährige,511841,461454
2023,26Jährige,525730,476857
2023,27Jährige,515266,470389
2023,28Jährige,504839,462616
2023,29Jährige,508016,468757
2023,30Jährige,521000,484785
2023,31Jährige,529206,495898
2023,32Jährige,542661,510920
2023,33Jährige,589024,556096
2023,34Jährige,581160,552101
2023,35Jährige,594674,564998
2023,36Jährige,582378,555523
2023,37Jährige,569579,550457
2023,38Jährige,553021,534394
2023,39Jährige,547311,532659
2023,40Jährige,545696,534203
2023,41Jährige,553123,543141
2023,42Jährige,543765,540689
2023,43Jährige,544364,541412
2023,44Jährige,516857,514963
2023,45Jährige,508278,505546
2023,46Jährige,501424,498038
2023,47Jährige,488715,488580
2023,48Jährige,474635,473929
2023,49Jährige,478308,479569
2023,50Jährige,479005,480572
2023,51Jährige,518420,519520
2023,52Jährige,570874,570955
2023,53Jährige,588791,588897
2023,54Jährige,630717,626241
2023,55Jährige,656504,650990
2023,56Jährige,667644,663879
2023,57Jährige,681024,677785
2023,58Jährige,677570,674946
2023,59Jährige,683041,686382
2023,60Jährige,671115,678330
2023,61Jährige,646051,658846
2023,62Jährige,631384,650113
2023,63Jährige,600012,626797
2023,64Jährige,575973,606751
2023,65Jährige,536707,569514
2023,66Jährige,520208,553846
2023,67Jährige,502110,537595
2023,68Jährige,475772,519607
2023,69Jährige,456113,509203
2023,70Jährige,431264,490243
2023,71Jährige,422976,485331
2023,72Jährige,406882,471223
2023,73Jährige,397093,465559
2023,74Jährige,375910,442484
2023,75Jährige,335947,396071
2023,76Jährige,305499,367701
2023,77Jährige,255516,314885
2023,78Jährige,214748,273009
2023,79Jährige,278449,356129
2023,80Jährige,270895,352556
2023,81Jährige,249824,333891
2023,82Jährige,285079,396079
2023,83Jährige,276407,401875
2023,84Jährige,251934,378250
2023,85 Jahre und mehr,990292,1853921
